time,cell id
88.59999999999711,20
153.10000000000056,180
162.1000000000026,320
182.00000000000713,100
519.4000000000754,60
554.0000000000439,0
622.6999999999814,80
929.3999999997025,340
1012.399999999627,120
1014.1999999996253,360
1278.6999999993848,40
1498.4999999991849,260
1853.599999998862,60
2046.0999999986868,0
2297.7999999995936,20
2308.4999999996326,180
2315.3999999996577,160
2511.9000000003725,120
2545.1000000004933,220
2629.3000000007996,100
2683.1000000009954,200
2712.9000000011038,300
2843.6000000015792,80
2951.2000000019707,440
3003.500000002161,420
3082.5000000024484,40
3457.8000000038137,240
3735.200000004823,140
3759.700000004912,260
3811.3000000050997,20
3835.4000000051874,320
3909.200000005456,280
3915.1000000054773,0
3964.9000000056585,180
4240.900000006663,40
4363.700000007109,340
4475.100000007515,80
4674.9000000082415,200
4821.200000008774,100
4922.3000000091415,60
5017.200000009487,160
5037.700000009561,220
5264.100000010385,0
5386.600000010831,120
5429.000000010985,380
5622.500000011689,20
5638.100000011746,40
5869.8000000125885,240
5957.100000012906,300
6144.900000013589,180
6168.400000013675,140
6300.600000014156,0
6372.700000014418,100
6905.600000016357,20
7019.600000016771,320
7077.00000001698,260
7148.700000017241,160
7479.000000018443,120
7489.20000001848,60
7632.900000019003,40
7747.70000001942,400
7845.200000019775,280
7906.400000019998,0
8231.700000020459,140
8373.800000018391,220
8657.800000014258,80
8786.600000012384,100
9169.500000006812,260
9171.200000006787,300
9209.400000006231,0
9271.700000005325,180
9498.900000002019,60
9535.700000001483,40
9593.400000000644,20
9635.500000000031,140
10091.599999993394,160
10129.799999992838,240
10234.199999991319,100
10561.799999986551,460
10609.599999985856,220
10964.499999980691,200
11178.099999977583,120
11229.599999976834,20
11494.899999972973,40
11602.399999971409,280
11674.399999970361,260
11811.099999968372,160
12045.899999964955,320
12078.59999996448,180
12141.399999963565,0
12191.799999962832,440
12254.899999961914,80
12320.699999960956,60
12348.299999960554,20
12692.599999955544,40
12859.299999953118,220
13172.999999948554,0
13241.29999994756,100
13743.699999940249,60
13913.899999937772,360
14116.09999993483,160
14295.999999932212,240
14759.799999925463,100
14837.59999992433,280
14913.999999923219,80
14991.699999922088,140
15227.199999918661,20
15695.799999911842,0
15798.29999991035,260
15867.999999909336,160
16024.499999907059,40
16062.099999906512,120
16317.0999999028,180
16509.999999899996,340
16601.79999989866,140
16802.599999895738,80
16881.39999989459,300
16937.69999989377,100
17340.699999887907,40
17372.399999887446,60
17510.099999885442,20
17878.49999988008,380
17918.199999879504,180
18009.89999987817,120
18050.599999877577,220
18580.399999869867,200
18668.699999868582,80
18745.499999867465,280
18788.99999986683,40
18808.99999986654,0
18847.49999986598,360
18868.89999986567,420
18927.099999864822,20
19068.69999986276,160
19193.29999986095,140
19202.499999860815,100
19477.09999985682,60
19516.399999856247,180
20534.399999841433,240
20553.09999984116,320
20668.199999839486,340
20782.09999983783,400
20942.69999983549,200
21006.59999983456,20
21238.39999983119,140
21271.399999830708,40
21282.099999830552,80
21330.099999829854,160
21494.59999982746,180
21686.39999982467,440
21839.399999822443,300
21862.599999822105,220
21996.99999982015,60
22200.99999981718,20
22309.4999998156,0
22663.299999810453,80
22797.399999808502,140
23118.199999803834,260
23248.199999801942,240
23418.79999979946,280
23576.69999979716,100
23730.79999979492,180
23741.69999979476,40
23990.699999791137,200
24180.09999978838,80
24197.899999788122,320
24495.199999783796,360
24579.699999782566,120
24679.599999781112,140
24811.59999977919,0
25129.599999774564,100
25146.699999774315,340
25316.299999771847,180
25556.399999768353,20
25740.89999976567,240
25831.199999764354,220
25883.79999976359,0
26370.599999756505,280
26579.19999975347,160
26670.399999752142,40
26682.699999751963,60
26765.799999750754,20
26952.39999974804,80
27131.899999745427,100
27304.499999742915,200
27354.599999742186,0
27497.799999740102,120
27710.999999737,300
27929.59999973382,60
28146.799999730658,160
28359.999999727555,320
28539.199999724948,40
29458.699999711567,240
29534.999999710457,100
29588.899999709673,140
29626.09999970913,60
29738.599999707494,120
29738.79999970749,80
29810.099999706454,220
29979.39999970399,260
30007.999999703574,0
30062.099999702787,440
30291.799999699444,400
30422.399999697544,200
30615.999999694726,160
31008.19999968902,60
31040.49999968855,280
31085.1999996879,140
31130.199999687244,40
31335.19999968426,300
31545.699999681197,80
31720.399999678655,180
31725.199999678585,360
31882.89999967629,220
31933.499999675554,0
32330.099999669783,60
32421.999999668446,120
32698.59999966442,40
32874.09999966958,260
32900.49999967112,100
33504.8999997063,200
33554.89999970921,140
33639.19999971412,0
33925.699999730794,60
34000.799999735165,220
34019.59999973626,80
34214.09999974758,20
34447.799999761184,100
34840.09999978402,180
34926.799999789066,40
35034.59999979534,240
35085.59999979831,160
35226.79999980653,80
35294.19999981045,140
35644.399999830835,420
35700.99999983413,0
35720.499999835265,60
36096.29999985714,200
36255.69999986642,400
36413.3999998756,100
36660.29999988997,80
36745.099999894905,180
36749.399999895155,120
36798.899999898036,320
36837.7999999003,280
37010.699999910365,240
37127.49999991716,40
37384.59999993213,60
37402.89999993319,0
37622.39999994597,220
38004.2999999682,20
38250.49999998253,340
38302.59999998556,80
38310.99999998605,100
38401.79999999134,200
38405.79999999157,300
38458.99999999467,0
38512.899999997804,120
38638.80000000513,180
38760.300000012205,60
38849.300000017385,140
39083.60000003102,40
39092.00000003151,260
39107.60000003242,20
39305.600000043945,380
40113.60000009098,200
40370.80000010595,80
40703.90000012534,0
40993.80000014221,40
41031.90000014443,280
41120.800000149604,360
41210.60000015483,220
41211.8000001549,260
41231.90000015607,160
41234.700000156234,240
41444.500000168446,400
41486.30000017088,20
41631.20000017931,80
41695.300000183044,120
41919.20000019608,140
41960.10000019846,0
42183.00000021143,100
42485.00000022901,340
42544.30000023246,60
42672.80000023994,40
43140.90000026719,80
43152.000000267835,120
